Location,Time,Severity,Cause,Latitude,Longitude
Main Street,2024-12-21 08:26:00,High,Traffic signal fail,40.705141,-73.959865
Oakwood Drive,2024-12-21 15:09:00,Medium,Road debris,33.775459,-96.799673
Maple Avenue,2024-12-21 20:44:00,Medium,Traffic signal fail,35.078393,-106.622438
Oakwood Drive,2024-12-20 11:03:00,Medium,Traffic signal fail,33.795578,-96.778168
Lakeview Parkway,2024-12-20 19:18:00,Medium,Construction work,39.76536,-104.935506
Lakeview Parkway,2024-12-21 21:46:00,Low,Fog,39.766299,-104.916354
Maple Avenue,2024-12-20 05:18:00,High,Traffic signal fail,35.060416,-106.647685
Broadway Boulevard,2024-12-20 13:15:00,Medium,Multi-vehicle crash,38.902599,-77.002169
Lakeview Parkway,2024-12-21 21:24:00,Low,Road debris,39.754552,-104.948162
Maple Avenue,2024-12-20 03:10:00,Medium,Pedestrian crossing,35.08793,-106.607672
Maple Avenue,2024-12-20 01:03:00,Medium,Road debris,35.066693,-106.645681
Downtown Avenue,2024-12-21 13:10:00,Low,Fog,34.078756,-118.232496
Lakeview Parkway,2024-12-20 20:54:00,High,Heavy rain,39.799258,-104.941642
Cedar Lane,2024-12-20 22:56:00,Medium,Animal on road,42.36454,-71.048408
Oakwood Drive,2024-12-21 14:05:00,High,Road debris,33.783016,-96.788707
Broadway Boulevard,2024-12-20 20:37:00,Low,Animal on road,38.949025,-77.017109
Riverfront Drive,2024-12-21 12:39:00,High,Construction work,36.138109,-115.127874
Main Street,2024-12-21 18:42:00,High,Animal on road,40.705747,-73.963711
Riverfront Drive,2024-12-20 07:24:00,Low,Road debris,36.149445,-115.121108
Broadway Boulevard,2024-12-21 20:00:00,High,Road debris,38.92048,-77.01218
Lakeview Parkway,2024-12-20 08:42:00,Low,Animal on road,39.794753,-104.949917
Hilltop Street,2024-12-21 21:41:00,Medium,Animal on road,37.789607,-122.425378
Broadway Boulevard,2024-12-20 02:42:00,Low,Road debris,38.906042,-77.045184
Riverfront Drive,2024-12-21 07:28:00,Medium,Vehicle breakdown,36.132607,-115.109987
Maple Avenue,2024-12-21 13:24:00,Low,Road debris,35.067027,-106.620819
Cedar Lane,2024-12-21 03:27:00,High,Traffic signal fail,42.391628,-71.049255
Maple Avenue,2024-12-20 06:39:00,Low,Vehicle breakdown,35.09555,-106.609444
Hilltop Street,2024-12-20 08:53:00,High,Multi-vehicle crash,37.776042,-122.432128
Elmwood Road,2024-12-21 19:10:00,Medium,Vehicle breakdown,41.861612,-87.622117
Hilltop Street,2024-12-20 01:52:00,High,Traffic signal fail,37.767114,-122.418814
Maple Avenue,2024-12-20 21:43:00,Medium,Animal on road,35.090817,-106.637557
Lakeview Parkway,2024-12-20 18:30:00,Medium,Pedestrian crossing,39.753484,-104.925758
Broadway Boulevard,2024-12-21 08:53:00,Low,Construction work,38.912874,-77.031697
Maple Avenue,2024-12-21 22:51:00,Medium,Pedestrian crossing,35.087225,-106.614741
Main Street,2024-12-21 11:28:00,High,Pedestrian crossing,40.741113,-73.994182
Maple Avenue,2024-12-21 10:57:00,Low,Animal on road,35.072708,-106.644526
Broadway Boulevard,2024-12-20 02:10:00,Medium,Heavy rain,38.931263,-77.001945
Main Street,2024-12-21 10:21:00,High,Animal on road,40.711373,-73.990996
Oakwood Drive,2024-12-21 06:42:00,High,Pedestrian crossing,33.777254,-96.773382
Hilltop Street,2024-12-21 07:15:00,Low,Heavy rain,37.768159,-122.412809
Cedar Lane,2024-12-21 13:43:00,High,Fog,42.389595,-71.032253
Hilltop Street,2024-12-20 22:38:00,High,Vehicle breakdown,37.799679,-122.448763
Riverfront Drive,2024-12-21 18:11:00,Low,Fog,36.115397,-115.128615
Oakwood Drive,2024-12-21 19:29:00,High,Traffic signal fail,33.780393,-96.79676
Oakwood Drive,2024-12-20 16:43:00,Low,Animal on road,33.776194,-96.792235
Elmwood Road,2024-12-20 00:55:00,Medium,Multi-vehicle crash,41.886931,-87.647635
Hilltop Street,2024-12-20 12:10:00,Medium,Fog,37.767757,-122.446091
Broadway Boulevard,2024-12-21 22:38:00,Medium,Fog,38.939261,-77.04122
Maple Avenue,2024-12-21 14:28:00,High,Construction work,35.062714,-106.615866
Elmwood Road,2024-12-20 07:33:00,High,Traffic signal fail,41.860641,-87.60921
Lakeview Parkway,2024-12-20 23:12:00,Low,Construction work,39.791203,-104.90867
Main Street,2024-12-21 03:36:00,Low,Road debris,40.748612,-73.96222
Lakeview Parkway,2024-12-20 21:45:00,Low,Road debris,39.753497,-104.906737
Maple Avenue,2024-12-20 16:44:00,Medium,Vehicle breakdown,35.096483,-106.631417
Downtown Avenue,2024-12-21 12:16:00,Low,Fog,34.09402,-118.208781
Oakwood Drive,2024-12-21 16:03:00,Medium,Animal on road,33.768826,-96.793938
Oakwood Drive,2024-12-20 17:50:00,High,Road debris,33.752038,-96.788161
Downtown Avenue,2024-12-20 13:23:00,Low,Fog,34.063641,-118.222978
Hilltop Street,2024-12-20 16:11:00,Medium,Traffic signal fail,37.756111,-122.411163
Hilltop Street,2024-12-20 22:23:00,High,Heavy rain,37.76722,-122.409286
Main Street,2024-12-20 08:19:00,Medium,Road debris,40.730663,-73.971057
Hilltop Street,2024-12-21 06:38:00,Medium,Construction work,37.752647,-122.404256
Downtown Avenue,2024-12-21 06:55:00,Low,Fog,34.091045,-118.223192
Main Street,2024-12-21 23:30:00,Medium,Vehicle breakdown,40.703494,-73.98945
Main Street,2024-12-21 03:35:00,Low,Road debris,40.738972,-73.971326
Maple Avenue,2024-12-21 19:50:00,Medium,Construction work,35.068571,-106.613019
Maple Avenue,2024-12-20 00:56:00,Medium,Animal on road,35.09524,-106.619434
Main Street,2024-12-21 07:16:00,High,Animal on road,40.743756,-73.971179
Cedar Lane,2024-12-20 14:36:00,Low,Vehicle breakdown,42.377463,-71.022155
Broadway Boulevard,2024-12-20 10:59:00,Low,Traffic signal fail,38.947601,-77.027115
Riverfront Drive,2024-12-21 22:14:00,Medium,Animal on road,36.13518,-115.129632
Riverfront Drive,2024-12-21 02:51:00,Medium,Road debris,36.103518,-115.114483
Hilltop Street,2024-12-20 18:34:00,Low,Traffic signal fail,37.782666,-122.436255
Elmwood Road,2024-12-21 17:51:00,High,Road debris,41.851362,-87.609204
Cedar Lane,2024-12-21 06:46:00,Low,Traffic signal fail,42.356178,-71.016021
Elmwood Road,2024-12-20 00:53:00,High,Heavy rain,41.864023,-87.60137
Oakwood Drive,2024-12-20 00:01:00,High,Animal on road,33.77868,-96.76614
Downtown Avenue,2024-12-20 03:08:00,Medium,Pedestrian crossing,34.055424,-118.21198
Riverfront Drive,2024-12-20 00:13:00,Medium,Vehicle breakdown,36.126218,-115.106692
Downtown Avenue,2024-12-21 14:39:00,Medium,Pedestrian crossing,34.062728,-118.249674
Riverfront Drive,2024-12-20 05:14:00,Medium,Vehicle breakdown,36.129178,-115.143495
Hilltop Street,2024-12-20 20:00:00,Low,Heavy rain,37.797159,-122.443049
Hilltop Street,2024-12-21 11:40:00,High,Traffic signal fail,37.769511,-122.431649
Broadway Boulevard,2024-12-20 13:50:00,High,Traffic signal fail,38.940713,-77.039755
Oakwood Drive,2024-12-20 18:52:00,Low,Fog,33.767395,-96.751639
Maple Avenue,2024-12-21 09:44:00,High,Road debris,35.085785,-106.626038
Riverfront Drive,2024-12-20 05:57:00,Low,Heavy rain,36.112756,-115.149591
Hilltop Street,2024-12-21 10:43:00,Low,Heavy rain,37.776589,-122.420765
Cedar Lane,2024-12-21 23:52:00,Medium,Vehicle breakdown,42.384147,-71.044588
Oakwood Drive,2024-12-21 04:04:00,Low,Construction work,33.780302,-96.773997
Maple Avenue,2024-12-20 13:35:00,Low,Pedestrian crossing,35.097956,-106.621808
Oakwood Drive,2024-12-21 03:14:00,Medium,Animal on road,33.765823,-96.778521
Oakwood Drive,2024-12-20 21:50:00,High,Multi-vehicle crash,33.789543,-96.759431
Riverfront Drive,2024-12-21 16:00:00,Low,Animal on road,36.101016,-115.122343
Downtown Avenue,2024-12-20 05:14:00,Medium,Fog,34.068974,-118.230474
Riverfront Drive,2024-12-21 22:04:00,Medium,Vehicle breakdown,36.147372,-115.113067
Hilltop Street,2024-12-21 17:59:00,High,Pedestrian crossing,37.773721,-122.40469
Broadway Boulevard,2024-12-20 11:28:00,Low,Traffic signal fail,38.925695,-77.032239
Lakeview Parkway,2024-12-20 10:29:00,Medium,Pedestrian crossing,39.773441,-104.928597
Lakeview Parkway,2024-12-20 15:06:00,High,Traffic signal fail,39.76304,-104.940535
Lakeview Parkway,2024-12-21 16:16:00,High,Road debris,39.77433,-104.944667
Broadway Boulevard,2024-12-21 11:27:00,Low,Vehicle breakdown,38.93637,-77.032368
Broadway Boulevard,2024-12-20 11:12:00,Low,Road debris,38.900726,-77.030391
Broadway Boulevard,2024-12-20 16:47:00,Medium,Heavy rain,38.948031,-77.026817
Oakwood Drive,2024-12-20 00:39:00,Medium,Vehicle breakdown,33.786008,-96.766356
Elmwood Road,2024-12-21 03:53:00,High,Pedestrian crossing,41.869742,-87.615426
Hilltop Street,2024-12-21 05:53:00,Medium,Animal on road,37.766338,-122.437867
Riverfront Drive,2024-12-20 15:27:00,Low,Construction work,36.136557,-115.135394
Broadway Boulevard,2024-12-21 09:54:00,Low,Multi-vehicle crash,38.926437,-77.022831
Maple Avenue,2024-12-20 19:53:00,Medium,Fog,35.068112,-106.606481
Maple Avenue,2024-12-20 08:03:00,High,Traffic signal fail,35.080564,-106.628313
Downtown Avenue,2024-12-21 22:25:00,High,Traffic signal fail,34.075423,-118.225088
Riverfront Drive,2024-12-20 21:29:00,Low,Fog,36.148087,-115.125167
Elmwood Road,2024-12-21 22:51:00,Low,Vehicle breakdown,41.890516,-87.613799
Broadway Boulevard,2024-12-21 18:36:00,Low,Heavy rain,38.901983,-77.040821
Lakeview Parkway,2024-12-20 15:17:00,Low,Animal on road,39.774902,-104.93426
Main Street,2024-12-21 23:31:00,Medium,Fog,40.732196,-73.975634
Downtown Avenue,2024-12-21 11:31:00,Low,Fog,34.060109,-118.236013
Cedar Lane,2024-12-21 13:16:00,High,Multi-vehicle crash,42.360721,-71.021127
Elmwood Road,2024-12-20 05:44:00,High,Vehicle breakdown,41.853331,-87.628097
Broadway Boulevard,2024-12-21 22:31:00,High,Pedestrian crossing,38.944809,-77.009621
Oakwood Drive,2024-12-20 06:08:00,Medium,Traffic signal fail,33.787699,-96.786957
Lakeview Parkway,2024-12-20 08:03:00,High,Vehicle breakdown,39.776972,-104.906785
Broadway Boulevard,2024-12-21 22:08:00,Medium,Animal on road,38.929576,-77.008287
Riverfront Drive,2024-12-20 08:43:00,Medium,Vehicle breakdown,36.1048,-115.109222
Oakwood Drive,2024-12-20 13:20:00,Medium,Road debris,33.758337,-96.768686
Broadway Boulevard,2024-12-21 11:12:00,Low,Pedestrian crossing,38.928909,-77.011692
Downtown Avenue,2024-12-20 16:30:00,Low,Vehicle breakdown,34.062297,-118.247819
Elmwood Road,2024-12-21 13:56:00,Low,Heavy rain,41.875996,-87.629083
Elmwood Road,2024-12-21 03:25:00,Low,Road debris,41.897543,-87.624501
Main Street,2024-12-20 03:04:00,Low,Heavy rain,40.730037,-73.956155
Main Street,2024-12-21 06:33:00,Low,Traffic signal fail,40.734563,-73.983926
Cedar Lane,2024-12-20 08:30:00,Low,Traffic signal fail,42.390613,-71.031104
Cedar Lane,2024-12-20 13:09:00,Low,Vehicle breakdown,42.386604,-71.026405
Hilltop Street,2024-12-21 09:52:00,Low,Vehicle breakdown,37.756014,-122.410699
Cedar Lane,2024-12-20 08:44:00,High,Construction work,42.379174,-71.041094
Maple Avenue,2024-12-20 07:09:00,Low,Animal on road,35.055844,-106.631384
Maple Avenue,2024-12-21 07:07:00,High,Vehicle breakdown,35.093939,-106.638368
Riverfront Drive,2024-12-20 09:38:00,Low,Heavy rain,36.148103,-115.112734
Cedar Lane,2024-12-20 05:19:00,Medium,Construction work,42.371189,-71.001421
Main Street,2024-12-21 11:20:00,Medium,Animal on road,40.707815,-73.976395
Main Street,2024-12-20 14:28:00,Medium,Construction work,40.720622,-73.995964
Downtown Avenue,2024-12-20 07:06:00,Low,Animal on road,34.064569,-118.209626
Downtown Avenue,2024-12-20 13:15:00,Medium,Fog,34.088487,-118.207308
Hilltop Street,2024-12-20 05:50:00,High,Pedestrian crossing,37.75573,-122.425237
Maple Avenue,2024-12-20 01:44:00,Low,Construction work,35.054599,-106.621031
Oakwood Drive,2024-12-20 06:51:00,Low,Heavy rain,33.784174,-96.789621
Lakeview Parkway,2024-12-21 18:56:00,Medium,Multi-vehicle crash,39.781869,-104.911689
Riverfront Drive,2024-12-21 22:21:00,Medium,Multi-vehicle crash,36.143412,-115.117072
Hilltop Street,2024-12-21 21:31:00,Medium,Road debris,37.75935,-122.435806
Main Street,2024-12-21 06:24:00,High,Construction work,40.722446,-73.991335
Downtown Avenue,2024-12-20 22:37:00,Low,Animal on road,34.068527,-118.235389
Cedar Lane,2024-12-20 20:23:00,Low,Animal on road,42.385324,-71.002942
Maple Avenue,2024-12-20 21:23:00,Low,Traffic signal fail,35.07491,-106.626577
Main Street,2024-12-21 03:38:00,Medium,Vehicle breakdown,40.743666,-73.979551
Oakwood Drive,2024-12-21 01:10:00,High,Road debris,33.784538,-96.765288
Main Street,2024-12-21 18:45:00,Medium,Fog,40.722256,-73.957626
Main Street,2024-12-21 05:06:00,Low,Pedestrian crossing,40.73328,-73.989265
Main Street,2024-12-21 20:01:00,High,Multi-vehicle crash,40.704104,-73.962417
Maple Avenue,2024-12-20 22:37:00,High,Road debris,35.054822,-106.631463
Hilltop Street,2024-12-20 13:23:00,Low,Vehicle breakdown,37.76658,-122.401954
Lakeview Parkway,2024-12-21 08:41:00,Low,Heavy rain,39.795034,-104.915606
Maple Avenue,2024-12-20 17:27:00,Low,Animal on road,35.093936,-106.638541
Riverfront Drive,2024-12-20 14:35:00,High,Vehicle breakdown,36.106591,-115.148685
Maple Avenue,2024-12-20 03:14:00,High,Heavy rain,35.061962,-106.609816
Oakwood Drive,2024-12-21 00:08:00,High,Pedestrian crossing,33.758451,-96.780373
Hilltop Street,2024-12-20 02:21:00,Low,Animal on road,37.771281,-122.410978
Hilltop Street,2024-12-21 11:47:00,High,Pedestrian crossing,37.768963,-122.431069
Cedar Lane,2024-12-20 21:41:00,Medium,Animal on road,42.389351,-71.035645
Broadway Boulevard,2024-12-20 16:12:00,Medium,Traffic signal fail,38.920507,-77.039104
Oakwood Drive,2024-12-20 12:33:00,High,Road debris,33.762553,-96.78543
Elmwood Road,2024-12-20 15:08:00,Medium,Construction work,41.878352,-87.634076
Downtown Avenue,2024-12-21 01:04:00,Low,Animal on road,34.07958,-118.202554
Riverfront Drive,2024-12-21 01:18:00,Low,Vehicle breakdown,36.112729,-115.142401
Downtown Avenue,2024-12-21 11:31:00,Low,Pedestrian crossing,34.063808,-118.246574
Elmwood Road,2024-12-21 22:27:00,High,Heavy rain,41.887376,-87.616287
Riverfront Drive,2024-12-21 11:29:00,Low,Heavy rain,36.125797,-115.124269
Downtown Avenue,2024-12-21 23:38:00,High,Traffic signal fail,34.058456,-118.218853
Oakwood Drive,2024-12-21 07:43:00,Low,Fog,33.775266,-96.775381
Elmwood Road,2024-12-21 13:01:00,Medium,Road debris,41.889126,-87.648304
Oakwood Drive,2024-12-20 21:45:00,Medium,Construction work,33.790343,-96.798071
Broadway Boulevard,2024-12-20 15:13:00,Low,Multi-vehicle crash,38.914552,-77.020109
Downtown Avenue,2024-12-21 11:22:00,Low,Multi-vehicle crash,34.09668,-118.249038
Hilltop Street,2024-12-21 10:08:00,Low,Construction work,37.785046,-122.420729
Downtown Avenue,2024-12-20 12:21:00,Low,Pedestrian crossing,34.064681,-118.213855
Riverfront Drive,2024-12-20 16:39:00,Medium,Traffic signal fail,36.14798,-115.119829
Main Street,2024-12-20 15:33:00,Low,Construction work,40.731769,-73.996977
Hilltop Street,2024-12-21 20:30:00,Medium,Traffic signal fail,37.783718,-122.448003
Riverfront Drive,2024-12-21 16:24:00,High,Multi-vehicle crash,36.125155,-115.106272
Main Street,2024-12-21 22:01:00,High,Animal on road,40.739486,-73.982349
Riverfront Drive,2024-12-21 15:04:00,Medium,Fog,36.115441,-115.123638
Elmwood Road,2024-12-20 05:08:00,Medium,Construction work,41.894173,-87.643752
Downtown Avenue,2024-12-21 05:26:00,High,Animal on road,34.071727,-118.230728
Cedar Lane,2024-12-20 00:17:00,High,Traffic signal fail,42.366728,-71.044778
Maple Avenue,2024-12-20 08:13:00,Medium,Pedestrian crossing,35.057996,-106.612727
Elmwood Road,2024-12-21 23:35:00,High,Heavy rain,41.868252,-87.646623
Lakeview Parkway,2024-12-21 06:04:00,Medium,Construction work,39.757363,-104.921993
Cedar Lane,2024-12-21 00:12:00,Medium,Multi-vehicle crash,42.351053,-71.018889
Oakwood Drive,2024-12-21 14:19:00,Medium,Road debris,33.767838,-96.791247
Lakeview Parkway,2024-12-21 03:07:00,Low,Heavy rain,39.753575,-104.914029
Main Street,2024-12-21 14:54:00,Low,Multi-vehicle crash,40.700495,-73.965036
Broadway Boulevard,2024-12-21 20:45:00,Low,Heavy rain,38.943789,-77.028171
Downtown Avenue,2024-12-20 01:00:00,Medium,Fog,34.066141,-118.242242
Lakeview Parkway,2024-12-20 03:17:00,High,Traffic signal fail,39.762056,-104.925118
Riverfront Drive,2024-12-21 14:55:00,High,Vehicle breakdown,36.115178,-115.148795
Maple Avenue,2024-12-20 16:49:00,Low,Traffic signal fail,35.058773,-106.600937
Lakeview Parkway,2024-12-21 15:55:00,Low,Pedestrian crossing,39.789472,-104.916087
Lakeview Parkway,2024-12-21 10:20:00,Medium,Multi-vehicle crash,39.779936,-104.93394
Downtown Avenue,2024-12-20 00:10:00,Low,Fog,34.068546,-118.2323
Broadway Boulevard,2024-12-21 08:10:00,Low,Vehicle breakdown,38.910793,-77.039907
Lakeview Parkway,2024-12-21 17:48:00,Low,Animal on road,39.797272,-104.925867
Downtown Avenue,2024-12-21 16:09:00,Low,Pedestrian crossing,34.068112,-118.231211
Maple Avenue,2024-12-20 17:45:00,High,Heavy rain,35.078369,-106.642833
Main Street,2024-12-20 07:43:00,Medium,Road debris,40.735961,-73.99115
Maple Avenue,2024-12-21 19:08:00,High,Vehicle breakdown,35.053386,-106.630845
Hilltop Street,2024-12-20 18:58:00,High,Fog,37.766485,-122.41296
Lakeview Parkway,2024-12-21 12:33:00,High,Pedestrian crossing,39.796306,-104.929774
Main Street,2024-12-21 07:38:00,Medium,Vehicle breakdown,40.74584,-73.989796
Main Street,2024-12-20 19:40:00,High,Animal on road,40.726578,-73.976531
Downtown Avenue,2024-12-20 12:20:00,Low,Road debris,34.095523,-118.216322
Cedar Lane,2024-12-21 15:12:00,High,Traffic signal fail,42.367003,-71.039835
Main Street,2024-12-21 15:32:00,High,Traffic signal fail,40.704578,-73.991617
Lakeview Parkway,2024-12-21 16:48:00,Medium,Pedestrian crossing,39.753927,-104.944544
Cedar Lane,2024-12-20 15:16:00,High,Construction work,42.372354,-71.047663
Main Street,2024-12-20 20:21:00,High,Pedestrian crossing,40.718544,-73.967554
Hilltop Street,2024-12-20 21:52:00,Low,Pedestrian crossing,37.784114,-122.421628
Downtown Avenue,2024-12-20 15:06:00,High,Construction work,34.058927,-118.208427
Cedar Lane,2024-12-20 08:52:00,Medium,Traffic signal fail,42.373055,-71.008841
Elmwood Road,2024-12-20 06:07:00,Medium,Fog,41.862343,-87.608162
Main Street,2024-12-20 13:17:00,Low,Heavy rain,40.74986,-73.97688
Oakwood Drive,2024-12-21 22:42:00,Low,Multi-vehicle crash,33.792286,-96.78801
Hilltop Street,2024-12-21 06:02:00,High,Animal on road,37.790827,-122.407963
Main Street,2024-12-20 15:28:00,High,Multi-vehicle crash,40.71097,-73.970082
Main Street,2024-12-20 19:42:00,High,Vehicle breakdown,40.735698,-73.990272
Hilltop Street,2024-12-21 02:00:00,Medium,Multi-vehicle crash,37.792162,-122.428108
Hilltop Street,2024-12-20 22:52:00,Low,Road debris,37.793013,-122.4423
Downtown Avenue,2024-12-21 00:48:00,High,Heavy rain,34.067537,-118.209215
Lakeview Parkway,2024-12-20 14:32:00,High,Animal on road,39.795664,-104.929197
Broadway Boulevard,2024-12-20 07:24:00,Low,Road debris,38.909728,-77.002813
Lakeview Parkway,2024-12-21 19:43:00,Low,Animal on road,39.793222,-104.901796
Oakwood Drive,2024-12-20 09:33:00,Medium,Pedestrian crossing,33.754427,-96.767691
Cedar Lane,2024-12-21 11:02:00,Low,Pedestrian crossing,42.350299,-71.039903
Elmwood Road,2024-12-21 12:08:00,High,Vehicle breakdown,41.874346,-87.648459
Downtown Avenue,2024-12-21 20:53:00,High,Multi-vehicle crash,34.073326,-118.227219
Oakwood Drive,2024-12-21 14:05:00,Medium,Road debris,33.774506,-96.750976
Elmwood Road,2024-12-21 03:28:00,High,Animal on road,41.890105,-87.613972
Riverfront Drive,2024-12-21 20:07:00,Medium,Fog,36.10666,-115.112371
Maple Avenue,2024-12-21 19:07:00,Medium,Road debris,35.077782,-106.642295
Riverfront Drive,2024-12-20 07:13:00,Low,Construction work,36.12989,-115.11529
Main Street,2024-12-20 14:20:00,Low,Vehicle breakdown,40.748228,-73.999313
Cedar Lane,2024-12-20 08:10:00,High,Pedestrian crossing,42.38906,-71.003871
Downtown Avenue,2024-12-21 03:24:00,Medium,Vehicle breakdown,34.062393,-118.228059
Riverfront Drive,2024-12-21 03:40:00,Medium,Multi-vehicle crash,36.131845,-115.118584
Riverfront Drive,2024-12-20 22:30:00,High,Construction work,36.144326,-115.10007
Broadway Boulevard,2024-12-20 02:27:00,High,Construction work,38.907663,-77.007029
Cedar Lane,2024-12-20 17:01:00,Low,Construction work,42.361534,-71.038936
Oakwood Drive,2024-12-20 01:58:00,High,Animal on road,33.784779,-96.755845
Elmwood Road,2024-12-21 15:57:00,High,Road debris,41.868507,-87.607186
Elmwood Road,2024-12-20 13:48:00,High,Traffic signal fail,41.881309,-87.624994
Broadway Boulevard,2024-12-21 13:16:00,Medium,Heavy rain,38.934178,-77.040123
Riverfront Drive,2024-12-21 22:13:00,Low,Traffic signal fail,36.11789,-115.109336
Downtown Avenue,2024-12-20 04:32:00,Medium,Animal on road,34.053442,-118.215484
Downtown Avenue,2024-12-21 20:12:00,High,Pedestrian crossing,34.058004,-118.220087
Broadway Boulevard,2024-12-21 22:22:00,Medium,Fog,38.909078,-77.009494
Cedar Lane,2024-12-21 20:26:00,Low,Construction work,42.355093,-71.014216
Cedar Lane,2024-12-21 21:25:00,High,Road debris,42.390197,-71.042392
Oakwood Drive,2024-12-21 12:21:00,High,Fog,33.763111,-96.773465
Maple Avenue,2024-12-20 14:45:00,Low,Animal on road,35.05209,-106.638188
Riverfront Drive,2024-12-20 05:58:00,Low,Pedestrian crossing,36.140649,-115.100882
Downtown Avenue,2024-12-20 04:23:00,High,Pedestrian crossing,34.061207,-118.220662
Cedar Lane,2024-12-20 15:02:00,High,Vehicle breakdown,42.393027,-71.042969
Downtown Avenue,2024-12-21 08:25:00,High,Traffic signal fail,34.067292,-118.228939
Lakeview Parkway,2024-12-20 21:34:00,High,Vehicle breakdown,39.793861,-104.928838
Broadway Boulevard,2024-12-20 00:58:00,Medium,Heavy rain,38.939226,-77.024448
Hilltop Street,2024-12-20 19:59:00,Medium,Road debris,37.790157,-122.439454
Cedar Lane,2024-12-21 04:54:00,Medium,Construction work,42.378776,-71.018944
Broadway Boulevard,2024-12-21 11:16:00,Medium,Heavy rain,38.916481,-77.032439
Hilltop Street,2024-12-21 14:23:00,Low,Traffic signal fail,37.75555,-122.410315
Elmwood Road,2024-12-20 05:24:00,High,Pedestrian crossing,41.88136,-87.633475
Cedar Lane,2024-12-20 03:56:00,Medium,Traffic signal fail,42.377627,-71.048561
Elmwood Road,2024-12-21 07:51:00,Low,Fog,41.899746,-87.632312
Downtown Avenue,2024-12-20 10:54:00,Low,Vehicle breakdown,34.097637,-118.224895
Elmwood Road,2024-12-20 08:58:00,High,Construction work,41.870245,-87.631801
Broadway Boulevard,2024-12-21 09:39:00,Low,Traffic signal fail,38.928121,-77.004674
Downtown Avenue,2024-12-21 21:24:00,Medium,Pedestrian crossing,34.071912,-118.224387
Broadway Boulevard,2024-12-20 10:00:00,Medium,Vehicle breakdown,38.929873,-77.014807
Elmwood Road,2024-12-20 17:34:00,High,Fog,41.857875,-87.629736
Lakeview Parkway,2024-12-21 19:53:00,Low,Fog,39.783973,-104.932632
Main Street,2024-12-20 10:15:00,Low,Multi-vehicle crash,40.736329,-73.972278
Riverfront Drive,2024-12-21 01:26:00,Low,Heavy rain,36.121527,-115.105861
Oakwood Drive,2024-12-21 20:56:00,Medium,Traffic signal fail,33.765064,-96.798355
Cedar Lane,2024-12-20 14:31:00,Medium,Traffic signal fail,42.361942,-71.033709
Oakwood Drive,2024-12-20 07:52:00,Low,Fog,33.782726,-96.764451
Cedar Lane,2024-12-20 01:06:00,Medium,Heavy rain,42.357784,-71.028312
Main Street,2024-12-21 09:59:00,Low,Pedestrian crossing,40.733253,-73.959071
Riverfront Drive,2024-12-20 19:25:00,High,Vehicle breakdown,36.106183,-115.137815
Cedar Lane,2024-12-21 12:20:00,Low,Traffic signal fail,42.373547,-71.010711
Maple Avenue,2024-12-20 09:26:00,Medium,Vehicle breakdown,35.091991,-106.635546
Hilltop Street,2024-12-20 15:40:00,High,Construction work,37.779222,-122.403254
Lakeview Parkway,2024-12-20 17:01:00,Medium,Fog,39.793359,-104.904697
Oakwood Drive,2024-12-20 00:58:00,High,Traffic signal fail,33.765793,-96.798824
Main Street,2024-12-21 16:39:00,High,Vehicle breakdown,40.730092,-73.997464
Downtown Avenue,2024-12-21 17:51:00,Medium,Road debris,34.063633,-118.235351
Cedar Lane,2024-12-21 16:26:00,Low,Vehicle breakdown,42.367549,-71.012927
Riverfront Drive,2024-12-21 10:45:00,Medium,Multi-vehicle crash,36.138758,-115.120548
Cedar Lane,2024-12-20 01:06:00,High,Traffic signal fail,42.392386,-71.01987
Oakwood Drive,2024-12-20 11:40:00,Medium,Road debris,33.786279,-96.789609
Maple Avenue,2024-12-21 06:59:00,Low,Fog,35.073878,-106.616468
Main Street,2024-12-21 15:38:00,Low,Vehicle breakdown,40.732986,-73.96106
Downtown Avenue,2024-12-21 12:56:00,Low,Pedestrian crossing,34.058084,-118.203326
Hilltop Street,2024-12-20 17:23:00,High,Animal on road,37.759542,-122.407071
Oakwood Drive,2024-12-20 18:33:00,Low,Pedestrian crossing,33.757354,-96.788977
Lakeview Parkway,2024-12-20 13:48:00,Medium,Traffic signal fail,39.763995,-104.914164
Downtown Avenue,2024-12-21 15:09:00,High,Multi-vehicle crash,34.093192,-118.233982
Main Street,2024-12-21 03:35:00,Medium,Traffic signal fail,40.738148,-73.990925
Hilltop Street,2024-12-21 14:28:00,Medium,Pedestrian crossing,37.770696,-122.421161
Lakeview Parkway,2024-12-20 23:36:00,Medium,Fog,39.772411,-104.902053
Lakeview Parkway,2024-12-21 08:09:00,High,Pedestrian crossing,39.772433,-104.905178
Broadway Boulevard,2024-12-20 16:16:00,Medium,Road debris,38.914619,-77.039673
Elmwood Road,2024-12-20 13:57:00,Low,Road debris,41.895294,-87.648402
Cedar Lane,2024-12-21 12:46:00,Low,Road debris,42.3804,-71.037701
Hilltop Street,2024-12-20 22:06:00,High,Multi-vehicle crash,37.774834,-122.420751
Oakwood Drive,2024-12-20 21:52:00,Low,Pedestrian crossing,33.762997,-96.75682
Broadway Boulevard,2024-12-21 12:08:00,High,Construction work,38.945209,-77.049564
Broadway Boulevard,2024-12-21 07:12:00,Low,Animal on road,38.93379,-77.04805
Oakwood Drive,2024-12-20 17:02:00,High,Road debris,33.789627,-96.782303
